description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
Pre-emptive tertiary standardization,100.0,0.0,failed,0,CA,CAD,2020-02-13,2021-03-01,cat1,subcat1
Managed bottom-line architecture,1400.0,14560.0,successful,158,US,USD,2021-01-25,2021-05-25,cat2,subcat2
Function-based leadingedge pricing structure,108400.0,142523.0,successful,1425,AU,AUD,2020-12-17,2021-12-30,cat3,subcat3
Vision-oriented fresh-thinking conglomeration,4200.0,2477.0,failed,24,US,USD,2021-10-21,2022-01-17,cat2,subcat2
Proactive foreground core,7600.0,5265.0,failed,53,US,USD,2020-12-21,2021-08-23,cat4,subcat4
Open-source optimizing database,7600.0,13195.0,successful,174,DK,DKK,2020-12-11,2021-08-29,cat4,subcat4
Operative upward-trending algorithm,5200.0,1090.0,failed,18,GB,GBP,2020-07-31,2021-05-11,cat5,subcat5
Centralized cohesive challenge,4500.0,14741.0,successful,227,DK,DKK,2020-12-22,2021-09-21,cat4,subcat4
Exclusive attitude-oriented intranet,110100.0,21946.0,live,708,DK,DKK,2020-04-08,2021-03-10,cat4,subcat4
Open-source fresh-thinking model,6200.0,3208.0,failed,44,US,USD,2021-08-13,2021-08-31,cat2,subcat6
Monitored empowering installation,5200.0,13838.0,successful,220,US,USD,2020-07-11,2021-08-02,cat5,subcat7
Grass-roots zero administration system engine,6300.0,3030.0,failed,27,US,USD,2020-08-11,2021-06-26,cat4,subcat4
Assimilated hybrid intranet,6300.0,5629.0,failed,55,US,USD,2020-11-14,2021-04-09,cat5,subcat7
Multi-tiered directional open architecture,4200.0,10295.0,successful,98,US,USD,2020-11-11,2021-11-06,cat2,subcat8
Cloned directional synergy,28200.0,18829.0,failed,200,US,USD,2021-11-14,2022-01-02,cat2,subcat8
Extended eco-centric pricing structure,81200.0,38414.0,failed,452,US,USD,2021-10-25,2021-12-16,cat3,subcat9
Cross-platform systemic adapter,1700.0,11041.0,successful,100,US,USD,2021-08-20,2021-12-22,cat6,subcat10
Seamless 4thgeneration methodology,84600.0,134845.0,successful,1249,US,USD,2020-04-12,2021-03-24,cat5,subcat11
Exclusive needs-based adapter,9100.0,6089.0,canceled,135,US,USD,2021-03-24,2022-01-27,cat4,subcat4
Down-sized cohesive archive,62500.0,30331.0,failed,674,US,USD,2021-10-12,2021-11-17,cat4,subcat4
Proactive composite alliance,131800.0,147936.0,successful,1396,US,USD,2020-04-12,2021-04-09,cat5,subcat7
Re-engineered intangible definition,94000.0,38533.0,failed,558,US,USD,2021-03-14,2021-04-29,cat4,subcat4
Enhanced dynamic definition,59100.0,75690.0,successful,890,US,USD,2020-07-06,2021-08-04,cat4,subcat4
Devolved next generation adapter,4500.0,14942.0,successful,142,GB,GBP,2021-07-23,2021-09-12,cat5,subcat5
Cross-platform intermediate frame,92400.0,104257.0,successful,2673,US,USD,2021-05-01,2021-10-01,cat3,subcat9
Monitored impactful analyzer,5500.0,11904.0,successful,163,US,USD,2020-10-09,2021-05-23,cat7,subcat12
Optional responsive customer loyalty,107500.0,51814.0,canceled,1480,US,USD,2020-11-20,2021-07-27,cat4,subcat4
Diverse transitional migration,2000.0,1599.0,failed,15,US,USD,2021-01-08,2021-10-15,cat2,subcat2
Synchronized global task-force,130800.0,137635.0,successful,2220,US,USD,2020-12-23,2021-12-23,cat4,subcat4
Focused 6thgeneration forecast,45900.0,150965.0,successful,1606,CH,CHF,2020-11-06,2021-08-27,cat5,subcat13
Down-sized analyzing challenge,9000.0,14455.0,successful,129,US,USD,2020-10-28,2021-02-15,cat5,subcat11
Progressive needs-based focus group,3500.0,10850.0,successful,226,GB,GBP,2020-11-25,2021-02-05,cat7,subcat12
Ergonomic 6thgeneration success,101000.0,87676.0,failed,2307,IT,EUR,2021-02-21,2021-11-26,cat5,subcat5
Exclusive interactive approach,50200.0,189666.0,successful,5419,US,USD,2021-04-04,2021-12-09,cat4,subcat4
Reverse-engineered asynchronous archive,9300.0,14025.0,successful,165,US,USD,2021-01-26,2021-12-10,cat5,subcat5
Synergized intangible challenge,125500.0,188628.0,successful,1965,DK,DKK,2021-03-16,2021-03-25,cat5,subcat7
Monitored multi-state encryption,700.0,1101.0,successful,16,US,USD,2021-04-07,2021-11-26,cat4,subcat4
Profound attitude-oriented functionalities,8100.0,11339.0,successful,107,US,USD,2020-11-20,2021-10-18,cat6,subcat14
